               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.038226,             0.15932,                   0,              0.9999,                   1,               0.995,             0.79848,            0.034405,             0.20783,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.035785,              0.1732,                   0,             0.99989,                   1,               0.995,             0.78127,            0.034847,             0.21034,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.037047,             0.16782,                   0,             0.99988,                   1,               0.995,             0.80616,            0.033966,             0.20719,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.036876,              0.1549,                   0,             0.99988,                   1,               0.995,              0.7939,            0.034584,             0.20924,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.037161,             0.17099,                   0,             0.99987,                   1,               0.995,             0.80384,            0.034106,             0.20897,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.036504,             0.15628,                   0,             0.99988,                   1,               0.995,             0.81045,            0.033818,             0.20551,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.032861,             0.14775,                   0,             0.99988,                   1,               0.995,             0.81116,            0.033831,             0.20544,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.035392,             0.16348,                   0,             0.99988,                   1,               0.995,             0.80881,            0.034029,             0.20756,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.035284,             0.15277,                   0,             0.99988,                   1,               0.995,             0.80823,            0.034089,             0.20566,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.035852,             0.14386,                   0,             0.99989,                   1,               0.995,             0.81232,            0.033846,             0.20578,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.035554,             0.14583,                   0,             0.99988,                   1,               0.995,             0.80764,            0.034344,             0.20608,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.037855,              0.1485,                   0,             0.99988,                   1,               0.995,             0.80156,            0.034235,             0.20559,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.036489,             0.14204,                   0,             0.99986,                   1,               0.995,             0.81044,            0.034358,             0.20546,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.035358,             0.15733,                   0,             0.99986,                   1,               0.995,             0.80986,            0.033688,             0.20242,                   0,            0.002575,            0.002575,            0.002575
                 152,             0.03653,             0.17597,                   0,             0.99987,                   1,               0.995,             0.81032,            0.033821,             0.20519,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.036185,             0.15131,                   0,             0.99988,                   1,               0.995,             0.80796,            0.034158,             0.20659,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.035564,             0.14609,                   0,             0.99989,                   1,               0.995,             0.80595,            0.033925,             0.20608,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.033717,             0.16485,                   0,             0.99989,                   1,               0.995,             0.80762,            0.033883,             0.20404,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.035748,             0.14137,                   0,              0.9999,                   1,               0.995,             0.80531,            0.033951,             0.20456,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.036821,              0.1382,                   0,              0.9999,                   1,               0.995,              0.8121,            0.033768,             0.20359,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.035373,             0.16566,                   0,             0.99988,                   1,               0.995,             0.80744,            0.033974,             0.20667,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.034349,             0.14973,                   0,             0.99987,                   1,               0.995,             0.80972,            0.033668,             0.20507,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.034479,             0.14521,                   0,             0.99987,                   1,               0.995,             0.80256,            0.034175,             0.20747,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.034809,             0.15272,                   0,             0.99986,                   1,               0.995,             0.80809,            0.033616,             0.20403,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.035304,             0.16491,                   0,             0.99989,                   1,               0.995,             0.80873,            0.033767,             0.20593,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.035715,             0.15951,                   0,             0.99988,                   1,               0.995,              0.7963,            0.034361,             0.20925,                   0,            0.001981,            0.001981,            0.001981
                 164,            0.036122,             0.16106,                   0,             0.99988,                   1,               0.995,              0.8108,            0.033699,             0.20567,                   0,           0.0019315,           0.0019315,           0.0019315
                 165,            0.034702,              0.1445,                   0,             0.99988,                   1,               0.995,             0.81382,            0.033714,             0.20482,                   0,            0.001882,            0.001882,            0.001882
                 166,            0.034512,             0.13165,                   0,             0.99988,                   1,               0.995,             0.81092,            0.033796,             0.20623,                   0,           0.0018325,           0.0018325,           0.0018325
